timestamp,open,high,low,close,volume
2019-09-19,269.4800,275.3300,269.1500,271.2300,638800
2019-09-18,271.1100,271.9300,266.4200,270.0200,470100
2019-09-17,270.8900,271.9500,265.7300,270.1600,613700
2019-09-16,272.1600,274.4200,269.2300,270.3800,489800
2019-09-13,274.0200,278.2900,272.3900,275.2700,528600
2019-09-12,277.3000,278.2100,272.6200,273.5400,395400
2019-09-11,273.1700,277.7100,270.4300,275.6800,542200
2019-09-10,278.1700,279.9800,269.9000,272.7200,733700
2019-09-09,279.0000,282.1500,278.3400,280.3400,584000
2019-09-06,272.0000,282.2300,271.6300,278.8100,1237900
2019-09-05,270.9000,273.5000,268.5200,271.0600,671800
2019-09-04,262.3300,274.5500,262.1600,268.3800,1074500
2019-09-03,253.8800,259.6700,250.3700,258.4300,809700
2019-08-30,254.8500,255.7900,252.0100,255.0000,868400
2019-08-29,253.7800,256.0000,251.4600,253.6800,596600
2019-08-28,255.0000,256.0000,249.6600,250.4900,524300
2019-08-27,251.6900,257.2600,251.2900,256.5400,844300
2019-08-26,249.7100,250.3900,245.8100,248.9300,913800
2019-08-23,245.8000,248.7100,243.9000,247.2300,588600
2019-08-22,253.5100,253.5100,246.6700,247.1100,539000
2019-08-21,252.4500,256.5800,251.0400,253.3600,545000
2019-08-20,253.4800,257.5500,248.9100,249.1100,775500
2019-08-19,262.1100,262.8800,257.3500,262.2500,576700
2019-08-16,257.6200,259.5800,252.1100,258.4800,686400
2019-08-15,262.2300,262.2300,250.1700,254.7200,993700
2019-08-14,253.0000,264.7400,252.8216,262.1300,1576600
2019-08-13,235.5100,261.8000,235.3800,260.8500,1893700
2019-08-12,236.8700,238.9776,235.0100,235.1400,777000
2019-08-09,235.6500,246.1100,235.3350,242.9000,1305300
2019-08-08,230.0000,244.9700,227.1470,238.0200,2038600
2019-08-07,211.0000,217.3600,209.4690,215.8700,773600
2019-08-06,216.3700,217.6100,212.1700,212.6700,919100
2019-08-05,212.6977,215.2200,209.0100,211.8800,1010100
2019-08-02,221.7300,224.7400,215.3100,219.7000,916500
2019-08-01,232.4900,235.9600,222.0200,224.9400,703700
2019-07-31,232.6400,234.1800,226.0600,230.8200,548600
2019-07-30,230.5000,236.3800,227.1600,232.7800,584700
2019-07-29,238.3600,238.7700,230.3600,230.8200,913200
2019-07-26,243.0400,243.2500,237.8800,238.9600,503800
2019-07-25,245.4800,245.4800,235.3100,240.0800,529000
2019-07-24,245.2400,247.5870,244.0400,245.1600,343200
