Stock Name,timestamp,Actual Close,Predicted Close
Microsoft Corp,2019-10-11,139.68,133.13023376464844
Microsoft Corp,2019-10-14,139.55,133.2091064453125
Microsoft Corp,2019-10-15,141.57,133.34580993652344
Microsoft Corp,2019-10-16,140.41,133.4627227783203
Microsoft Corp,2019-10-17,139.69,133.54367065429688
Microsoft Corp,2019-10-18,137.41,133.6412353515625
Microsoft Corp,2019-10-21,138.43,133.76950073242188
Microsoft Corp,2019-10-22,136.37,133.889892578125
Microsoft Corp,2019-10-23,137.24,133.940185546875
Microsoft Corp,2019-10-24,139.94,133.8922576904297
Microsoft Corp,2019-10-25,140.73,133.78077697753906
Microsoft Corp,2019-10-28,144.19,133.6439666748047
Microsoft Corp,2019-10-29,142.83,133.49185180664062
Microsoft Corp,2019-10-30,144.61,133.35475158691406
Microsoft Corp,2019-10-31,143.37,133.27745056152344
Microsoft Corp,2019-11-01,143.72,133.3328094482422
Microsoft Corp,2019-11-04,144.55,133.50875854492188
Microsoft Corp,2019-11-05,144.46,133.7552490234375
Microsoft Corp,2019-11-06,144.06,133.9822235107422
Microsoft Corp,2019-11-07,144.26,134.17189025878906
Microsoft Corp,2019-11-08,145.96,134.32749938964844
Microsoft Corp,2019-11-11,146.11,134.4188995361328
Microsoft Corp,2019-11-12,147.07,134.4598388671875
Microsoft Corp,2019-11-13,147.31,134.4297332763672
Microsoft Corp,2019-11-14,148.06,134.2758331298828
Microsoft Corp,2019-11-15,149.97,134.02247619628906
Microsoft Corp,2019-11-18,150.34,133.7545928955078
Microsoft Corp,2019-11-19,150.39,133.51947021484375
Microsoft Corp,2019-11-20,149.62,133.3116912841797
Microsoft Corp,2019-11-21,149.225,133.17474365234375
Microsoft Corp,2019-08-29,138.12,140.8715057373047
Microsoft Corp,2019-08-30,137.86,140.7401885986328
Microsoft Corp,2019-09-03,136.04,140.64434814453125
Microsoft Corp,2019-09-04,137.63,140.63876342773438
Microsoft Corp,2019-09-05,140.05,140.7578887939453
Microsoft Corp,2019-09-06,139.1,141.0251922607422
Microsoft Corp,2019-09-09,137.52,141.40484619140625
Microsoft Corp,2019-09-10,136.08,141.8680419921875
Microsoft Corp,2019-09-11,136.12,142.3651885986328
Microsoft Corp,2019-09-12,137.52,142.8334503173828
Microsoft Corp,2019-09-13,137.32,143.1373748779297
Microsoft Corp,2019-09-16,136.33,143.26356506347656
Microsoft Corp,2019-09-17,137.39,143.21942138671875
Microsoft Corp,2019-09-18,138.52,142.9371337890625
Microsoft Corp,2019-09-19,141.07,142.47984313964844
Microsoft Corp,2019-09-20,139.44,141.94979858398438
Microsoft Corp,2019-09-23,139.14,141.515380859375
Microsoft Corp,2019-09-24,137.38,141.2399444580078
Microsoft Corp,2019-09-25,139.36,141.07968139648438
Microsoft Corp,2019-09-26,139.54,141.0472412109375
Microsoft Corp,2019-09-27,137.73,141.0255889892578
Microsoft Corp,2019-09-30,139.03,140.93272399902344
Microsoft Corp,2019-10-01,137.07,140.80039978027344
Microsoft Corp,2019-10-02,134.65,140.72166442871094
Microsoft Corp,2019-10-03,136.28,140.71875
Microsoft Corp,2019-10-04,138.12,140.8173828125
Microsoft Corp,2019-10-07,137.12,140.9856719970703
Microsoft Corp,2019-10-08,135.67,141.0815887451172
Microsoft Corp,2019-10-09,138.24,141.07742309570312
Microsoft Corp,2019-10-10,139.1,140.9949188232422
Microsoft Corp,2019-07-18,136.42,135.79197692871094
Microsoft Corp,2019-07-19,136.62,135.45199584960938
Microsoft Corp,2019-07-22,138.43,134.66561889648438
Microsoft Corp,2019-07-23,139.29,133.71315002441406
Microsoft Corp,2019-07-24,140.72,132.85626220703125
Microsoft Corp,2019-07-25,140.19,132.2147216796875
Microsoft Corp,2019-07-26,141.34,131.7919921875
Microsoft Corp,2019-07-29,141.03,131.57562255859375
Microsoft Corp,2019-07-30,140.35,131.52381896972656
Microsoft Corp,2019-07-31,136.27,131.5930938720703
Microsoft Corp,2019-08-01,138.06,131.8086395263672
Microsoft Corp,2019-08-02,136.9,132.15916442871094
Microsoft Corp,2019-08-05,132.21,132.6318817138672
Microsoft Corp,2019-08-06,134.69,133.1696014404297
Microsoft Corp,2019-08-07,135.28,133.73057556152344
Microsoft Corp,2019-08-08,138.89,134.11859130859375
Microsoft Corp,2019-08-09,137.71,134.2793426513672
Microsoft Corp,2019-08-12,135.79,134.24769592285156
Microsoft Corp,2019-08-13,138.6,134.08514404296875
Microsoft Corp,2019-08-14,133.98,133.9154510498047
Microsoft Corp,2019-08-15,133.68,133.83621215820312
Microsoft Corp,2019-08-16,136.13,133.90225219726562
Microsoft Corp,2019-08-19,138.41,134.08543395996094
Microsoft Corp,2019-08-20,137.26,134.330078125
Microsoft Corp,2019-08-21,138.79,134.5682373046875
Microsoft Corp,2019-08-22,137.78,134.8082733154297
Microsoft Corp,2019-08-23,133.39,135.06668090820312
Microsoft Corp,2019-08-26,135.45,135.35435485839844
Microsoft Corp,2019-08-27,135.74,135.6571807861328
Microsoft Corp,2019-08-28,135.56,135.89024353027344
